"uf";"nome_munic";"populacao"
"TO";"Piraquê";3033
"TO";"Pium";7743
"TO";"Ponte Alta do Bom Jesus";4591
"TO";"Ponte Alta do Tocantins";8116
"TO";"Porto Alegre do Tocantins";3170
"TO";"Porto Nacional";53316
"TO";"Praia Norte";8498
"TO";"Presidente Kennedy";3676
"TO";"Pugmil";2717
"TO";"Recursolândia";4342
"TO";"Riachinho";4684
"TO";"Rio da Conceição";2171
"TO";"Rio dos Bois";2856
"TO";"Rio Sono";6488
"TO";"Sampaio";4794
"TO";"Sandolândia";3373
"TO";"Santa Fé do Araguaia";7595
"TO";"Santa Maria do Tocantins";3486
"TO";"Santa Rita do Tocantins";2386
"TO";"Santa Rosa do Tocantins";4846
"TO";"Santa Tereza do Tocantins";2897
"TO";"Santa Terezinha do Tocantins";2530
"TO";"São Bento do Tocantins";5391
"TO";"São Félix do Tocantins";1598
"TO";"São Miguel do Tocantins";12294
"TO";"São Salvador do Tocantins";3094
"TO";"São Sebastião do Tocantins";4852
"TO";"São Valério";3904
"TO";"Silvanópolis";5428
"TO";"Sítio Novo do Tocantins";8997
"TO";"Sucupira";1986
"TO";"Taguatinga";16825
"TO";"Taipas do Tocantins";2166
"TO";"Talismã";2812
"TO";"Palmas";306296
"TO";"Tocantínia";7617
"TO";"Tocantinópolis";22845
"TO";"Tupirama";1922
"TO";"Tupiratins";2729
"TO";"Wanderlândia";11734
"TO";"Xambioá";11520
"MA";"Açailândia";113121
"MA";"Afonso Cunha";6578
"MA";"Água Doce do Maranhão";12652
"MA";"Alcântara";22112
"MA";"Aldeias Altas";26757
"MA";"Altamira do Maranhão";8189
"MA";"Alto Alegre do Maranhão";27858
"MA";"Alto Alegre do Pindaré";31943
"MA";"Alto Parnaíba";11212
"MA";"Amapá do Maranhão";7005
"MA";"Amarante do Maranhão";41729
"MA";"Anajatuba";26988
"MA";"Anapurus";15894
"MA";"Apicum-Açu";17413
"MA";"Araguanã";15551
"MA";"Araioses";46771
"MA";"Arame";32764
"MA";"Arari";29932
"MA";"Axixá";12183
"MA";"Bacabal";104790
"MA";"Bacabeira";17252
"MA";"Bacuri";18654
"MA";"Bacurituba";5670
"MA";"Balsas";95929
"MA";"Barão de Grajaú";18924
"MA";"Barra do Corda";88492
"MA";"Barreirinhas";63217
"MA";"Belágua";7528
"MA";"Bela Vista do Maranhão";11279
"MA";"Benedito Leite";5638
"MA";"Bequimão";21299
"MA";"Bernardo do Mearim";6073
"MA";"Boa Vista do Gurupi";8382
"MA";"Bom Jardim";41822
"MA";"Bom Jesus das Selvas";34567
"MA";"Bom Lugar";16438
"MA";"Brejo";36651
"MA";"Brejo de Areia";9014
"MA";"Buriti";28798
"MA";"Buriti Bravo";23939
"MA";"Buriticupu";72983
"MA";"Buritirana";15467
"MA";"Cachoeira Grande";9478
"MA";"Cajapió";11216
"MA";"Cajari";19451
"MA";"Campestre do Maranhão";14453
"MA";"Cândido Mendes";20278
"MA";"Cantanhede";22117
"MA";"Capinzal do Norte";10935
"MA";"Carolina";24165
"MA";"Carutapera";23952
"MA";"Caxias";165525
"MA";"Cedral";10693
"MA";"Central do Maranhão";8740
"MA";"Centro do Guilherme";13670
"MA";"Centro Novo do Maranhão";21840
"MA";"Chapadinha";80195
"MA";"Cidelândia";14777
"MA";"Codó";123116
"MA";"Coelho Neto";49621
"MA";"Colinas";41312
"MA";"Conceição do Lago-Açu";16400
"MA";"Coroatá";65544
"MA";"Cururupu";32626
"MA";"Davinópolis";12916
"MA";"Dom Pedro";23372
"MA";"Duque Bacelar";11401
"MA";"Esperantinópolis";17104
"MA";"Estreito";42527
"MA";"Feira Nova do Maranhão";8484
"MA";"Fernando Falcão";10460
"MA";"Formosa da Serra Negra";19258
"MA";"Fortaleza dos Nogueiras";12647
"MA";"Fortuna";15567
"MA";"Godofredo Viana";11963
"MA";"Gonçalves Dias";17944
"MA";"Governador Archer";10886
"MA";"Governador Edison Lobão";18520
"MA";"Governador Eugênio Barros";16882
"MA";"Governador Luiz Rocha";7841
"MA";"Governador Newton Bello";10151
"MA";"Governador Nunes Freire";25539
"MA";"Graça Aranha";6261
"MA";"Grajaú";70065
"MA";"Guimarães";11997
"MA";"Humberto de Campos";28932
"MA";"Icatu";27269
"MA";"Igarapé do Meio";14324
"MA";"Igarapé Grande";11387
"MA";"Imperatriz";259337
"MA";"Itaipava do Grajaú";16005
"MA";"Itapecuru Mirim";68723
"MA";"Itinga do Maranhão";26068
"MA";"Jatobá";10310
"MA";"Jenipapo dos Vieiras";17040
"MA";"João Lisboa";23740
"MA";"Joselândia";16198
"MA";"Junco do Maranhão";4392
"MA";"Lago da Pedra";50616
"MA";"Lago do Junco";10869
"MA";"Lago Verde";16314
"MA";"Lagoa do Mato";11265
"MA";"Lago dos Rodrigues";8857
"MA";"Lagoa Grande do Maranhão";11464
"MA";"Lajeado Novo";7602
"MA";"Lima Campos";11918
"MA";"Loreto";12214
"MA";"Luís Domingues";6984
"MA";"Magalhães de Almeida";20029
"MA";"Maracaçumé";21586
"MA";"Marajá do Sena";7775
"MA";"Maranhãozinho";16511
"MA";"Mata Roma";16977
"MA";"Matinha";23482
"MA";"Matões";33943
"MA";"Matões do Norte";17033
"MA";"Milagres do Maranhão";8483
"MA";"Mirador";21031
"MA";"Miranda do Norte";28754
"MA";"Mirinzal";15011
"MA";"Monção";33664
"MA";"Montes Altos";9111
"MA";"Morros";19572
"MA";"Nina Rodrigues";14642
"MA";"Nova Colinas";5427
"MA";"Nova Iorque";4682
"MA";"Nova Olinda do Maranhão";21080
"MA";"Olho d'Água das Cunhãs";19561
"MA";"Olinda Nova do Maranhão";14836
"MA";"Paço do Lumiar";123747
"MA";"Palmeirândia";19781
"MA";"Paraibano";21479
"MA";"Parnarama";35008
"MA";"Passagem Franca";19137
"MA";"Pastos Bons";19583
"MA";"Paulino Neves";16166
"MA";"Paulo Ramos";21066
"MA";"Pedreiras";39191
"MA";"Pedro do Rosário";25354
"MA";"Penalva";38731
"MA";"Peri Mirim";14345
"MA";"Peritoró";23364
"MA";"Pindaré-Mirim";33065
"MA";"Pinheiro";83777
"MA";"Pio XII";21379
"MA";"Pirapemas";18720
"MA";"Poção de Pedras";17595
"MA";"Porto Franco";24092
"MA";"Porto Rico do Maranhão";5955
"MA";"Presidente Dutra";48036
"MA";"Presidente Juscelino";12838
"MA";"Presidente Médici";7070
"MA";"Presidente Sarney";19069
"MA";"Presidente Vargas";11261
"MA";"Primeira Cruz";15431
"MA";"Raposa";31177
"MA";"Riachão";20334
"MA";"Ribamar Fiquene";7825
"MA";"Rosário";42994
"MA";"Sambaíba";5679
"MA";"Santa Filomena do Maranhão";7826
"MA";"Santa Helena";42483
"MA";"Santa Inês";89489
"MA";"Santa Luzia";72887
"MA";"Santa Luzia do Paruá";25371
"MA";"Santa Quitéria do Maranhão";25764
"MA";"Santa Rita";38298
"MA";"Santana do Maranhão";13547
"MA";"Santo Amaro do Maranhão";16034
"MA";"Santo Antônio dos Lopes";14522
"MA";"São Benedito do Rio Preto";18717
"MA";"São Bento";45604
"MA";"São Bernardo";28667
"MA";"São Domingos do Azeitão";7420
"MA";"São Domingos do Maranhão";34384
"MA";"São Félix de Balsas";4562
"MA";"São Francisco do Brejão";11941
"MA";"São Francisco do Maranhão";12218
"MA";"São João Batista";20701
"MA";"São João do Carú";15787
"MA";"São João do Paraíso";11193
"MA";"São João do Soter";18645
"MA";"São João dos Patos";25996
"MA";"São José de Ribamar";179028
"MA";"São José dos Basílios";7640
"MA";"São Luís";1108975
"MA";"São Luís Gonzaga do Maranhão";18727
"MA";"São Mateus do Maranhão";41579
"MA";"São Pedro da Água Branca";12735
"MA";"São Pedro dos Crentes";4684
"MA";"São Raimundo das Mangabeiras";18980
"MA";"São Raimundo do Doca Bezerra";5131
"MA";"São Roberto";6789
"MA";"São Vicente Ferrer";22350
"MA";"Satubinha";14096
"MA";"Senador Alexandre Costa";11214
"MA";"Senador La Rocque";14050
"MA";"Serrano do Maranhão";10299
"MA";"Sítio Novo";18160
"MA";"Sucupira do Norte";10634
"MA";"Sucupira do Riachão";5676
"MA";"Tasso Fragoso";8582
"MA";"Timbiras";29183
"MA";"Timon";170222
"MA";"Trizidela do Vale";22112
"MA";"Tufilândia";5854
"MA";"Tuntum";42040
"MA";"Turiaçu";35709
"MA";"Turilândia";25868
"MA";"Tutóia";59398
"MA";"Urbano Santos";33459
"MA";"Vargem Grande";57168
"MA";"Viana";52649
"MA";"Vila Nova dos Martírios";13598
"MA";"Vitória do Mearim";32861
"MA";"Vitorino Freire";31522
"MA";"Zé Doca";51956
"PI";"Acauã";7102
"PI";"Agricolândia";5131
"PI";"Água Branca";17470
"PI";"Alagoinha do Piauí";7665
"PI";"Alegrete do Piauí";4918
"PI";"Alto Longá";14339
"PI";"Altos";40605
"PI";"Alvorada do Gurguéia";5445
"PI";"Amarante";17604
"PI";"Angical do Piauí";6783
"PI";"Anísio de Abreu";9938
"PI";"Antônio Almeida";3170
"PI";"Aroazes";5827
"PI";"Aroeiras do Itaim";2551
"PI";"Arraial";4720
"PI";"Assunção do Piauí";7863
"PI";"Avelino Lopes";11326
"PI";"Baixa Grande do Ribeiro";11671
"PI";"Barra D'Alcântara";3952
"PI";"Barras";47185
"PI";"Barreiras do Piauí";3352
"PI";"Barro Duro";7027
"PI";"Batalha";26905
"PI";"Bela Vista do Piauí";4030
"PI";"Belém do Piauí";3587
"PI";"Beneditinos";10473
"PI";"Bertolínia";5507
"PI";"Betânia do Piauí";6210
"PI";"Boa Hora";6815
"PI";"Bocaina";4505
"PI";"Bom Jesus";25387
"PI";"Bom Princípio do Piauí";5651
"PI";"Bonfim do Piauí";5685
"PI";"Boqueirão do Piauí";6426
"PI";"Brasileira";8347
"PI";"Brejo do Piauí";3848
"PI";"Buriti dos Lopes";19807
"PI";"Buriti dos Montes";8264
"PI";"Cabeceiras do Piauí";10630
"PI";"Cajazeiras do Piauí";3573
"PI";"Cajueiro da Praia";7674
"PI";"Caldeirão Grande do Piauí";5781
"PI";"Campinas do Piauí";5620
"PI";"Campo Alegre do Fidalgo";5069
"PI";"Campo Grande do Piauí";5965
"PI";"Campo Largo do Piauí";7311
"PI";"Campo Maior";46893
"PI";"Canavieira";3944
"PI";"Canto do Buriti";21258
"PI";"Capitão de Campos";11445
"PI";"Capitão Gervásio Oliveira";4114
"PI";"Caracol";10964
"PI";"Caraúbas do Piauí";5890
"PI";"Caridade do Piauí";5085
"PI";"Castelo do Piauí";19715
"PI";"Caxingó";5451
"PI";"Cocal";27845
"PI";"Cocal de Telha";4899
"PI";"Cocal dos Alves";6168
"PI";"Coivaras";4032
"PI";"Colônia do Gurguéia";6516
"PI";"Colônia do Piauí";7661
"PI";"Conceição do Canindé";4807
"PI";"Coronel José Dias";4685
"PI";"Corrente";26709
